Category,Price_in_AUD,Rank,,,,,,,,,
Steroids,331245503.20,E,,,,,,,,,
Prescription,40643970.63,D,,,,,,,,,
Prescription,6894211.36,D,,,,,,,,,
Prescription,5861696.80,B,,,,,,,,,
Prescription,3389633.91,E,,,,,,,,,
Prescription,2603080.95,A,,,,,,,,,
Prescription,1031494.36,B,,,,,,,,,
Prescription,916245.52,C,,,,,,,,,
Prescription,656210.39,F,,,,,,,,,
Prescription,624025.12,B,,,,,,,,,
Prescription,545010.54,C,,,,,,,,,
Prescription,498574.46,B,,,,,,,,,
Prescription,482367.45,C,,,,,,,,,
Steroids,461318.58,D,,,,,,,,,
Steroids,452986.22,B,,,,,,,,,
Steroids,386583.99,F,,,,,,,,,
Steroids,373698.73,A,,,,,,,,,
Steroids,354898.14,B,,,,,,,,,
Steroids,351461.96,D,,,,,,,,,
Steroids,335574.88,F,,,,,,,,,
Steroids,320734.08,A,,,,,,,,,
Steroids,304673.23,E,,,,,,,,,
Steroids,299727.24,C,,,,,,,,,
Steroids,295589.70,D,,,,,,,,,
Steroids,294984.30,C,,,,,,,,,
Steroids,272858.61,A,,,,,,,,,
Steroids,267737.75,A,,,,,,,,,
Steroids,253236.84,A,,,,,,,,,
Steroids,246169.50,D,,,,,,,,,
Steroids,233313.94,D,,,,,,,,,
Steroids,221209.24,B,,,,,,,,,
Steroids,217452.08,A,,,,,,,,,
Steroids,206582.23,A,,,,,,,,,
Steroids,206378.34,B,,,,,,,,,
Steroids,206375.10,A,,,,,,,,,
Steroids,206365.00,C,,,,,,,,,
Steroids,206357.61,B,,,,,,,,,
Steroids,206195.92,A,,,,,,,,,
Steroids,205748.08,A,,,,,,,,,
Steroids,205484.65,F,,,,,,,,,
Steroids,205272.53,D,,,,,,,,,
Steroids,205095.44,B,,,,,,,,,
Steroids,189880.36,A,,,,,,,,,
Steroids,182875.77,D,,,,,,,,,
Steroids,173747.47,A,,,,,,,,,
Steroids,171344.77,B,,,,,,,,,
Steroids,169839.54,B,,,,,,,,,
Steroids,166893.54,B,,,,,,,,,
Steroids,160702.80,B,,,,,,,,,
Steroids,155456.20,E,,,,,,,,,
Steroids,155281.03,C,,,,,,,,,
Steroids,154589.43,D,,,,,,,,,
Steroids,154587.85,D,,,,,,,,,
Steroids,153088.54,F,,,,,,,,,
Steroids,148318.17,F,,,,,,,,,
Steroids,141408.56,C,,,,,,,,,
Steroids,140346.13,C,,,,,,,,,
Steroids,140185.54,C,,,,,,,,,
Steroids,139593.12,C,,,,,,,,,
Steroids,138368.14,A,,,,,,,,,
Steroids,137061.35,D,,,,,,,,,
Steroids,133696.46,B,,,,,,,,,
Steroids,132064.42,A,,,,,,,,,
Steroids,123857.56,C,,,,,,,,,
Steroids,123075.07,A,,,,,,,,,
Steroids,122664.60,A,,,,,,,,,
Steroids,122296.01,B,,,,,,,,,
Steroids,120465.75,D,,,,,,,,,
Steroids,116710.92,B,,,,,,,,,
Steroids,116341.73,A,,,,,,,,,
Steroids,111514.23,D,,,,,,,,,
Steroids,110119.52,D,,,,,,,,,
Steroids,109259.82,A,,,,,,,,,
Steroids,109046.73,D,,,,,,,,,
Steroids,108182.94,B,,,,,,,,,
Steroids,105958.88,D,,,,,,,,,
Steroids,105121.12,A,,,,,,,,,
Steroids,104815.95,D,,,,,,,,,
Steroids,102500.67,D,,,,,,,,,
Steroids,99616.47,C,,,,,,,,,
Steroids,99306.95,A,,,,,,,,,
Steroids,96014.62,A,,,,,,,,,
Steroids,95547.36,A,,,,,,,,,
Steroids,93503.34,A,,,,,,,,,
Steroids,92241.22,C,,,,,,,,,
Steroids,91895.09,B,,,,,,,,,
Steroids,91855.34,B,,,,,,,,,
Steroids,87725.11,F,,,,,,,,,
Steroids,84908.09,A,,,,,,,,,
Prescription,84696.57,F,,,,,,,,,
Prescription,84482.51,A,,,,,,,,,
Opioids,84418.93,B,,,,,,,,,
Opioids,84287.85,A,,,,,,,,,
Opioids,84241.66,A,,,,,,,,,
Opioids,84222.99,B,,,,,,,,,
Opioids,84200.85,A,,,,,,,,,
Opioids,84125.18,A,,,,,,,,,
Opioids,84078.79,A,,,,,,,,,
Opioids,81182.38,A,,,,,,,,,
Opioids,79276.36,D,,,,,,,,,
Opioids,79042.35,A,,,,,,,,,
Opioids,78290.14,D,,,,,,,,,
Opioids,76809.15,A,,,,,,,,,
Opioids,75169.63,D,,,,,,,,,
Opioids,73071.72,A,,,,,,,,,
Opioids,72420.69,D,,,,,,,,,
Opioids,70053.92,A,,,,,,,,,
Opioids,69636.11,A,,,,,,,,,
Opioids,69189.72,F,,,,,,,,,
Opioids,69176.17,C,,,,,,,,,
Opioids,68821.99,C,,,,,,,,,
Opioids,68710.91,A,,,,,,,,,
Opioids,68135.32,A,,,,,,,,,
Opioids,67988.67,A,,,,,,,,,
Opioids,67726.25,A,,,,,,,,,
Opioids,67647.18,A,,,,,,,,,
Opioids,67452.00,C,,,,,,,,,
Meth,66694.15,F,,,,,,,,,
Meth,66045.63,A,,,,,,,,,
Meth,65073.36,B,,,,,,,,,
Meth,62861.48,E,,,,,,,,,
Meth,62422.22,A,,,,,,,,,
Meth,61449.80,A,,,,,,,,,
Meth,61350.80,A,,,,,,,,,
Meth,61290.01,D,,,,,,,,,
Prescription,60689.28,B,,,,,,,,,
Meth,59443.50,B,,,,,,,,,
Meth,58743.20,A,,,,,,,,,
Meth,58404.25,B,,,,,,,,,
Meth,57943.39,C,,,,,,,,,
Meth,57742.26,A,,,,,,,,,
Meth,57314.61,C,,,,,,,,,
Meth,57075.54,A,,,,,,,,,
Meth,56769.85,F,,,,,,,,,
Meth,55085.22,A,,,,,,,,,
Meth,54651.58,D,,,,,,,,,
Prescription,54510.63,A,,,,,,,,,
Prescription,54462.45,B,,,,,,,,,
Prescription,53590.63,D,,,,,,,,,
Prescription,52435.90,A,,,,,,,,,
Prescription,52386.08,A,,,,,,,,,
Prescription,52002.90,B,,,,,,,,,
Prescription,51120.72,F,,,,,,,,,
Prescription,50111.01,A,,,,,,,,,
Prescription,49538.34,A,,,,,,,,,
Meth,49461.98,A,,,,,,,,,
Meth,48913.57,A,,,,,,,,,
Meth,48621.08,A,,,,,,,,,
Meth,48180.53,A,,,,,,,,,
MDMA,47779.12,A,,,,,,,,,
MDMA,47439.57,B,,,,,,,,,
MDMA,46627.79,D,,,,,,,,,
MDMA,44894.62,A,,,,,,,,,
Prescription,44385.51,A,,,,,,,,,
Prescription,44358.60,A,,,,,,,,,
Prescription,43239.34,D,,,,,,,,,
Prescription,43238.24,B,,,,,,,,,
Prescription,43195.33,A,,,,,,,,,
Prescription,42906.27,D,,,,,,,,,
Prescription,42652.43,E,,,,,,,,,
Prescription,41905.00,A,,,,,,,,,
MDMA,40990.62,B,,,,,,,,,
MDMA,40906.10,B,,,,,,,,,
MDMA,40608.55,C,,,,,,,,,
MDMA,40024.11,A,,,,,,,,,
MDMA,39281.74,A,,,,,,,,,
MDMA,38447.22,A,,,,,,,,,
MDMA,38289.72,A,,,,,,,,,
MDMA,37863.73,C,,,,,,,,,
MDMA,37766.00,B,,,,,,,,,
MDMA,37758.74,B,,,,,,,,,
MDMA,37729.06,D,,,,,,,,,
MDMA,37667.66,B,,,,,,,,,
MDMA,37433.02,A,,,,,,,,,
MDMA,37187.53,C,,,,,,,,,
MDMA,37077.16,D,,,,,,,,,
MDMA,37058.74,A,,,,,,,,,
MDMA,36966.61,F,,,,,,,,,
MDMA,36838.31,A,,,,,,,,,
MDMA,36835.11,D,,,,,,,,,
MDMA,36648.07,A,,,,,,,,,
MDMA,36595.90,A,,,,,,,,,
MDMA,36593.73,A,,,,,,,,,
MDMA,36310.53,B,,,,,,,,,
MDMA,36134.72,A,,,,,,,,,
MDMA,36073.68,A,,,,,,,,,
MDMA,36025.13,F,,,,,,,,,
Prescription,36025.13,B,,,,,,,,,
MDMA,35800.04,A,,,,,,,,,
Prescription,35467.86,D,,,,,,,,,
MDMA,35224.79,A,,,,,,,,,
MDMA,35020.44,B,,,,,,,,,
MDMA,34788.67,A,,,,,,,,,
MDMA,33659.57,A,,,,,,,,,
MDMA,33612.75,C,,,,,,,,,
MDMA,33473.34,A,,,,,,,,,
MDMA,33143.59,B,,,,,,,,,
MDMA,32735.23,A,,,,,,,,,
MDMA,32689.17,B,,,,,,,,,
MDMA,32582.93,C,,,,,,,,,
MDMA,32515.50,A,,,,,,,,,
MDMA,32447.94,C,,,,,,,,,
MDMA,31968.81,A,,,,,,,,,
MDMA,31866.96,B,,,,,,,,,
MDMA,31625.09,C,,,,,,,,,
MDMA,31202.79,B,,,,,,,,,
MDMA,31086.62,D,,,,,,,,,
MDMA,31070.94,D,,,,,,,,,
MDMA,30378.80,D,,,,,,,,,
MDMA,30101.95,B,,,,,,,,,
MDMA,30091.66,A,,,,,,,,,
MDMA,30064.54,D,,,,,,,,,
MDMA,29961.42,A,,,,,,,,,
MDMA,29561.67,C,,,,,,,,,
MDMA,29145.75,F,,,,,,,,,
MDMA,28949.12,A,,,,,,,,,
MDMA,28556.87,A,,,,,,,,,
MDMA,27542.57,B,,,,,,,,,
MDMA,27277.28,D,,,,,,,,,
MDMA,27273.47,B,,,,,,,,,
MDMA,26886.21,C,,,,,,,,,
MDMA,26853.04,A,,,,,,,,,
MDMA,26265.32,B,,,,,,,,,
MDMA,26092.98,D,,,,,,,,,
MDMA,26041.51,A,,,,,,,,,
MDMA,25972.42,E,,,,,,,,,
MDMA,25900.34,A,,,,,,,,,
MDMA,25712.85,B,,,,,,,,,
MDMA,25516.41,B,,,,,,,,,
MDMA,25410.66,A,,,,,,,,,
MDMA,25409.65,D,,,,,,,,,
MDMA,25224.25,A,,,,,,,,,
MDMA,25180.78,F,,,,,,,,,
