Year,Per_100K_Population,AnnualChange, 
1990,2.2051,,
1991,1.978,-10.3,
1992,1.7297,-12.55,
1993,1.8917,9.37,
1994,1.7979,-4.96,
1995,1.9785,10.05,
1996,1.9462,-1.63,
1997,1.9796,1.72,
1998,1.797,-9.22,
1999,2.0492,14.03,
2000,1.9061,-6.98,
2001,1.8078,-5.16,
2002,1.8865,4.35,
2003,1.5389,-18.43,
2004,1.323,-14.03,
2005,1.2835,-2.99,
2006,1.369,6.66,
2007,1.2191,-10.95,
2008,1.2235,0.36,
2009,1.2091,-1.18,
2010,1.0427,-13.76,
2011,1.1004,5.53,
2012,1.061,-3.58,
2013,1.0535,-0.71,
2014,1.0298,-2.25,
2015,0.9861,-4.24,
2016,0.9356,-5.12,
2017,0.8461,-9.57,
2018,0.8876,4.9,
2019,0.8927,0.57,
2020,0.8667,-2.91,
