 Category, Price_in_AUD,Rank,,,,,,,,,
Steroids,745.56,E,,,,,,,,,
Prescription,5063.49,D,,,,,,,,,
Prescription,25972.42,D,,,,,,,,,
Prescription,154587.85,B,,,,,,,,,
Prescription,48180.53,E,,,,,,,,,
Prescription,2006.17,A,,,,,,,,,
Prescription,1435.58,B,,,,,,,,,
Prescription,1992.99,C,,,,,,,,,
Prescription,42.24,F,,,,,,,,,
Prescription,10842.56,B,,,,,,,,,
Prescription,81182.38,C,,,,,,,,,
Prescription,7698.36,B,,,,,,,,,
Prescription,221209.24,C,,,,,,,,,
Steroids,14000.35,D,,,,,,,,,
Steroids,19705.23,B,,,,,,,,,
Steroids,14350.49,F,,,,,,,,,
Steroids,14308.75,A,,,,,,,,,
Steroids,13699.88,B,,,,,,,,,
Steroids,13129.67,D,,,,,,,,,
Steroids,10715.78,F,,,,,,,,,
Steroids,11386.5,A,,,,,,,,,
Steroids,10982.33,E,,,,,,,,,
Steroids,14311.57,C,,,,,,,,,
Steroids,14204.38,D,,,,,,,,,
Steroids,12394.73,C,,,,,,,,,
Steroids,10727.91,A,,,,,,,,,
Steroids,11385.38,A,,,,,,,,,
Steroids,14935.89,A,,,,,,,,,
Steroids,15071.07,D,,,,,,,,,
Steroids,14431.19,D,,,,,,,,,
Steroids,9478.22,B,,,,,,,,,
Steroids,14197.68,A,,,,,,,,,
Steroids,2929.57,A,,,,,,,,,
Steroids,10715.54,B,,,,,,,,,
Steroids,12759.97,A,,,,,,,,,
Steroids,14448.75,C,,,,,,,,,
Steroids,19736.95,B,,,,,,,,,
Steroids,11286.83,A,,,,,,,,,
Steroids,13878.12,A,,,,,,,,,
Steroids,11396.44,F,,,,,,,,,
Steroids,12954.71,D,,,,,,,,,
Steroids,16287.91,B,,,,,,,,,
Steroids,12665.77,A,,,,,,,,,
Steroids,16214.93,D,,,,,,,,,
Steroids,14389.23,A,,,,,,,,,
Steroids,15974.11,B,,,,,,,,,
Steroids,7004.73,B,,,,,,,,,
Steroids,14351.32,B,,,,,,,,,
Steroids,26886.21,B,,,,,,,,,
Steroids,11424.86,E,,,,,,,,,
Steroids,15075.47,C,,,,,,,,,
Steroids,14811.52,D,,,,,,,,,
Steroids,14903.65,D,,,,,,,,,
Steroids,11975.71,F,,,,,,,,,
Steroids,11831.55,F,,,,,,,,,
Steroids,14811.59,C,,,,,,,,,
Steroids,14624.99,C,,,,,,,,,
Steroids,10716.09,C,,,,,,,,,
Steroids,26092.98,C,,,,,,,,,
Steroids,9389.72,A,,,,,,,,,
Steroids,14320.3,D,,,,,,,,,
Steroids,9501.38,B,,,,,,,,,
