Offence type,Jul 2017 - Jun 2018,Jul 2018 - Jun 2019,Jul 2019 - Jun 2020,Jul 2020 - Jun 2021,Jul 2021 - Jun 2022,"Rate per 100,000 population Jul 2021 - Jun 2022",Population
Other offences,15366,14657,22150,29275,89602,1097.1,25422788
Transport regulatory offences,123924,109295,99574,74575,64939,795.1,25422788
Stealing,86605,86976,78343,67813,60684,743,25422788
Breach bail conditions,42244,44811,50805,50946,51801,634.2,25422788
Malicious damage to property,59618,57676,54645,53433,47456,581,25422788
Fraud,51156,51360,50531,45986,43925,537.8,25422788
"Intimidation, stalking and harassment",31460,33794,37070,41541,40834,500,25422788
Domestic violence related assault,28720,30568,31872,32925,31775,389,25422788
Non-domestic violence related assault,32163,31804,30210,30985,27666,338.7,25422788
Breach Apprehended Violence Order,15241,16784,19378,20573,21769,266.5,25422788
Break and enter dwelling,27188,25553,23060,19258,17296,211.8,25422788
Other theft,27162,27143,24301,18889,16445,201.3,25422788
Drug possession,17788,17339,18864,16438,15616,191.2,25422788
Prohibited and regulated weapons offences,13520,15170,16814,15000,13446,164.6,25422788
Motor vehicle theft,12963,13281,12615,11546,10688,130.9,25422788
Trespass,9857,10497,10925,9588,9282,113.6,25422788
Liquor offences,11314,11956,9386,9258,8992,110.1,25422788
Receiving or handling stolen goods,7872,8264,9226,7496,7267,89,25422788
Break and enter non-dwelling,10392,10028,9015,7099,6995,85.6,25422788
Sexual assault,6095,5873,6527,7937,6967,85.3,25422788
"Sexual touching, sexual act and other sexual offences",7742,8060,7967,8225,6962,85.2,25422788
Resist or hinder officer,6270,6069,5855,5499,5685,69.6,25422788
Drug trafficking,4926,6030,6626,6359,5629,68.9,25422788
Other drug offences,5414,6173,6721,6026,5362,65.7,25422788
Offensive conduct,4987,4626,4165,3942,3567,43.7,25422788
Arson,5822,5089,4766,3974,3441,42.1,25422788
Assault Police,2349,2488,2548,2440,2667,32.7,25422788
Criminal intent,2250,2352,2554,2358,2401,29.4,25422788
Other offences against justice procedures,565,1096,1839,1893,2036,24.9,25422788
Offensive language,3056,2478,2261,1965,1761,21.6,25422788
Other offences against the person,437,1179,1291,1425,1753,21.5,25422788
Robbery,2486,2553,2322,2124,1530,18.8,25422788
Cultivating cannabis,1171,1269,1147,1138,959,11.7,25422788
Fail to appear,531,496,704,790,905,11.1,25422788
Pornography offences,644,681,761,946,897,11,25422788
Stock theft,427,446,421,347,275,3.4,25422788
Abduction and kidnapping,202,213,193,232,177,2.2,25422788
Blackmail and extortion,108,92,84,120,162,2,25422788
Importing drugs,80,90,239,238,163,2,25422788
Escape custody,168,177,191,179,159,1.9,25422788
Betting and gaming offences,89,180,63,84,72,0.9,25422788
Murder ,54,77,72,58,64,0.8,25422788
Manufacture drug,79,64,61,67,54,0.7,25422788
Attempted murder,16,23,28,28,14,0.2,25422788
Prostitution offences,41,20,23,15,16,0.2,25422788
"Murder accessory, conspiracy",3,2,1,0,1,0,25422788
Manslaughter ,11,12,9,2,2,0,25422788
